org_name	log10_kcatkm
azorhizobium_caulinodans	-4.948739946
methylocella_silvestris	-5.06211949
bartonella_henselae	-5.356909658
sorangium_cellulosum	-4.762499514
elusimicrobium_minutum	-4.904174524
deinococcus_deserti	-5.552638424
xanthomonas_campestris	-5.063042964
pseudarthrobacter_chlorophenolicus	-5.711370503
leptospira_interrogans	-5.343948329
corynebacterium_urealyticum	-5.482602052
paramagnetospirillum_magneticum	-5.621954197
gluconacetobacter_diazotrophicus	-5.341998323
sphingopyxis_alaskensis	-5.151833888
thermotoga_neapolitana	-4.726095613
thermotoga_maritima	-5.103182126
pseudothermotoga_lettingae	-5.390927013
kosmotoga_olearia	-5.535276999
petrotoga_mobilis	-5.532981425
fervidobacterium_nodosum	-5.513950188
thermosipho_melanesiensis	-5.523780788
thermosipho_africanus	-5.578641792
bdellovibrio_bacteriovorus	-5.459272283
anaeromyxobacter_dehalogenans	-5.34605488
thermococcus_sibiricus	-4.744256517
pyrococcus_furiosus	-4.50187079
chlamydia_trachomatis	-5.36870687
mycoplasma_mycoides	-5.34736067
erwinia_tasmaniensis	-5.296639654
shewanella_halifaxensis	-4.269009756
shewanella_frigidimarina	-5.28630804
pseudoalteromonas_atlantica	-4.285576609
vibrio_cholerae	-5.568049479
photobacterium_profundum	-4.458361864
vibrio_parahaemolyticus	-5.429763218
aliivibrio_salmonicida	-3.864038576
histophilus_somni	-5.575714832
actinobacillus_pleuropneumoniae	-5.590938105
legionella_pneumophila	-5.493734697
polaromonas_naphthalenivorans	-5.317724955
bordetella_petrii	-5.273511812
neisseria_gonorrhoeae	-5.160282555
pseudomonas_syringae	-5.368487946
pseudomonas_entomophila	-5.41160158
acinetobacter_baylyi	-5.737753028
chlorobaculum_parvum	-4.310550505
alkalilimnicola_ehrlichii	-5.586095376
methylococcus_capsulatus	-5.618410283
cellvibrio_japonicus	-5.293300017
lactobacillus_delbrueckii	-5.617863155
streptococcus_pneumoniae	-4.853346831
streptococcus_thermophilus	-5.113074312
lactococcus_lactis	-5.484096703
enterococcus_faecalis	-5.305824379
limosilactobacillus_reuteri	-5.158050264
bacillus_cereus	-5.482398733
geobacillus_kaustophilus	-5.502457768
geobacillus_thermodenitrificans	-5.412354345
geobacillus_stearothermophilus	-5.483154705
bacillus_subtilis	-5.642410687
bacillus_licheniformis	-5.265918408
lysinibacillus_sphaericus	-5.648809377
clostridium_botulinum	-5.527156025
methanosarcina_acetivorans	-5.286810935
