org_name,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
WP_216758941.1,0.650180307,0.561791918,0.638163667,0.661714247,0.741458332,0.827203688,0.855023484,0.772085077,0.749774891,0.714857727,0.671055423,0.656800043,0.700852867,0.824537035,0.968243738
RUP13001.1,0.208767834,0.398698894,0.705022291,0.85150616,0.912315584,1,0.890370761,0.668366284,0.590528719,0.469773322,0.34995989,0.274519442,0.227414756,0.20169072,0.164798409
WP_103121657.1,0.085869879,0.668703715,0.952238003,1,0.946371412,0.70880179,0.519912836,0.325861309,0.246627244,0.193158379,0.142829654,0.122140895,0.120334998,0.13612271,0.125620207
WP_084563696.1,0.758082999,0.725183227,0.809359781,0.867971629,0.87580219,0.98285602,0.972643353,0.929626975,0.881714076,0.853590381,0.813451252,0.785680204,0.787591547,0.840557266,0.854468925
WP_020181142.1,0.066020699,0.716166246,0.964984733,1,0.93020237,0.635312672,0.444607221,0.277093399,0.178115087,0.126215122,0.091952125,0.074634756,0.06450946,0.066061318,0.069652546
PZQ11333.1,0.113085327,0.687507992,0.932766248,1,0.950828146,0.790165468,0.604056588,0.408117988,0.27280269,0.196659717,0.148500914,0.122013576,0.106390854,0.102558006,0.09904131
TMJ90498.1,0.171830022,0.685392671,0.887236781,0.961299419,0.986240471,0.999105544,0.901972104,0.687344165,0.572266559,0.428150275,0.297571948,0.210786375,0.151487844,0.116754287,0.085633074
WP_225106888.1,0.622916918,0.511829964,0.603737444,0.666791452,0.720700593,0.887028818,0.857538926,0.786514021,0.753910469,0.693991386,0.632879418,0.626891217,0.67392795,0.802152801,0.928000221
WP_232630168.1,0.168651623,0.446149562,0.786456352,0.912577103,0.98453038,1,0.849969241,0.579532359,0.482472512,0.365636887,0.265288155,0.219278809,0.195251029,0.187796221,0.164002806
WP_051911054.1,0.516673895,0.446495088,0.64164976,0.765777378,0.809627293,1,0.950690819,0.711164149,0.750659733,0.715806645,0.646106726,0.621458948,0.606159218,0.651195101,0.601083037
WP_066879886.1,0.818497001,0.852824573,0.897321491,0.914194297,0.932074384,0.962115358,0.939024769,0.907559557,0.880228668,0.856628298,0.841923605,0.820450884,0.822460786,0.7726078,0.784325873
WP_183506314.1,0.84865763,0.89630955,0.907957352,0.905155195,0.966669987,0.947662728,0.948401977,0.896536105,0.893715074,0.88307192,0.869162839,0.852084934,0.812474904,0.816565428,0.797851312
WP_243947655.1,0.24546619,0.227035482,0.508690168,0.688321658,0.768480928,1,0.892144451,0.612398183,0.596288774,0.52056056,0.431326018,0.393326978,0.379453003,0.381496824,0.32864827
WP_244024857.1,0.156341894,0.243658423,0.528090641,0.723865745,0.79960684,1,0.872148284,0.580081475,0.490586821,0.379129002,0.274032079,0.217365592,0.178181257,0.156262395,0.130886089
