iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd
1,0.16659931961290922,0,capnocytophaga_ochracea,2.797596244,3.170948885,0.0891253403013809
2,0.16438638566286992,0,thermococcus_sibiricus,2.054342674,3.105956177666666,0.1990798265937893
3,0.17928202148387343,0,faecalibaculum_rodentium,2.502312799,3.024530867333334,0.1775429240092688
4,0.18571628974250814,0,bordetella_petrii,2.955921511,2.999457656666667,0.2215255484274668
5,0.18298883930569942,0,kushneria_avicenniae,3.069014347,2.999457656666667,0.2215255484274668
6,0.18851588292715812,0,legionella_pneumophila,3.008882206,3.1252122040000003,0.0575402825835085
7,0.18339418215501324,0,legionella_erythra,2.93425233,3.011272688,0.0462008888209953
8,0.17894404669336045,0,helicobacter_rodentium,2.992350631,2.9804741480000003,0.2400227684514964
9,0.18552212647281857,0,mycoplasma_mobile,2.66296868,2.962940628666667,0.2365687195841541
10,0.1828248713934431,0,mesomycoplasma_hyorhinis,3.021018832,2.9640565359999997,0.2351388872440221
11,0.1812781684678894,0,mesomycoplasma_flocculare,2.505754181,2.973612603,0.2366721226980961
12,0.18921344695105163,0,verminephrobacter_aporrectodeae,2.969472303,2.950650252666667,0.2092718097726609
13,0.1709385674169461,0,thermomicrobium_roseum,1.872561769,2.9461323346666664,0.2210884361138831
14,0.16813862182254505,0,salipiger_mucosus,2.934730585,2.943742556,0.2423946116482648
15,0.1788799340284166,0,pseudoroseomonas_rhizosphaerae,2.642407709,2.9269135876666668,0.2391910795982985
16,0.17638319598324073,0,hydrogenobacter_thermophilus,2.274542681,2.9157365286666668,0.2494043708848704
17,0.16724837977160098,0,helicobacter_acinonychis,2.929780929,2.911651703,0.3038745579377926
18,0.17365823771327443,0,cellvibrio_japonicus,1.971637491,2.9055621876666664,0.1580801694894491
19,0.17184101595092172,0,paramagnetospirillum_magneticum,3.078728272,2.884785914,0.1761926012580268
20,0.1646323854672685,0,gluconacetobacter_diazotrophicus,2.653562784,2.9091814656666664,0.1909340520136025
21,0.16328850236278628,0,streptomyces_subrutilus,2.035186754,2.8806390836666664,0.1918924144422311
22,0.16153942415226916,0,chitinophaga_pinensis,2.603529124,2.8517018429999994,0.115889524590723
23,0.1607158612120276,0,acinetobacter_baylyi,2.049310719,2.8514115529999997,0.4289737716441967
24,0.15402636245337367,0,chrysiogenes_arsenatis,2.554905603,2.8501322566666665,0.158609651513412
25,0.15383109758040173,0,methanococcoides_burtonii,2.398794599,2.8501322566666665,0.158609651513412
26,0.15330115620025048,0,trichlorobacter_lovleyi,2.608221299,2.823683046333333,0.194873811380211
27,0.15221784814891595,0,kosmotoga_olearia,2.431762429,2.8200900203333332,0.1576236406580183
28,0.1468934781051011,0,vibrio_parahaemolyticus,3.075124403,2.8019948796666667,0.392463356906418
29,0.14471106783812027,0,psychromonas_ingrahamii,3.196500671,2.792921773,0.3856707596614983
30,0.12564604837519228,0,photobacterium_profundum,2.342575462,3.1092178653333336,0.0622086772702724
31,0.13415023123533232,0,histophilus_somni,2.685408131,3.109217865333333,0.0622086772702724
32,0.12826075181714044,0,aliivibrio_salmonicida,2.77082051,2.865034885,0.3738591469812208
33,0.13309864989608566,0,pseudoalteromonas_atlantica,2.598780336,2.8397458226666665,0.4216234873413392
34,0.13686801414006208,0,escherichia_coli,2.731156976,2.824576129,0.3409150875796152
35,0.1318030679953581,0,neisseria_gonorrhoeae,2.848114599,2.824576129,0.3409150875796152
36,0.12982508388760938,0,shewanella_loihica,2.737415675,2.792921773,0.3856707596614983
37,0.12447847057270214,0,rubritepida_flocculans,2.631781318,2.7915662550000007,0.2031052714401987
38,0.1231645806419581,0,thermotoga_neapolitana,2.764168173,2.7851869723333333,0.4018021133023691
39,0.13302867531197074,0,bacillus_licheniformis,2.800124097,2.7716460449999993,0.2671408724467184
40,0.13211227149243415,0,geobacillus_kaustophilus,2.380755544,2.7905452469999994,0.0978586693149212
41,0.1285154814458197,0,thermosipho_africanus,3.101221246,2.765029493666667,0.4008329009297797
42,0.1243243422283645,0,thermodesulfatator_atlanticus,3.245090472,3.040589015333333,0.2054665215202653
43,0.12359253635783685,0,persephonella_hydrogeniphila,2.728079295,3.0368266303333336,0.2015466270519134
44,0.12214923366966873,0,thermodesulfobacterium_commune,3.250863101,3.024797004333333,0.2178770874009397
45,0.12155231280711556,0,dissulfuribacter_thermophilus,3.236574137,3.0746776226666666,0.2450933582227942
46,0.1167040566196014,0,archaeoglobus_fulgidus,3.184580734,3.0746776226666666,0.2450933582227942
47,0.1136962738990352,0,caldanaerobacter_subterraneus,2.8428298,3.1788883603333336,0.0612234896665812
48,0.11298356246744015,0,desulfurobacterium_thermolithotrophum,2.196670361,3.092757878333334,0.1787854790865769
49,0.10954599355357203,0,thermosipho_melanesiensis,3.011881447,2.9027397396666665,0.1439747527817142
50,0.10722857028111575,0,thermotoga_maritima,2.9940093,2.959090288666667,0.142574830184754
51,0.10581230295455023,0,fervidobacterium_nodosum,3.204146892,2.959090288666667,0.142574830184754
52,0.10370624784432826,0,fervidobacterium_islandicum,3.129964497,3.0231787703333333,0.1879065180692373
53,0.1016788756766669,0,petrotoga_mobilis,2.768685878,3.032759854,0.1923224293710752
54,0.10021146612925606,0,eggerthia_catenaformis,2.129267838,2.9863058663333333,0.2574066278333725
55,0.09978726475883577,0,desulfurobacterium_atlanticum,2.113784676,2.7634544206666667,0.4340168363864932
56,0.09603721851696059,0,spirulina_subsalsa,3.233609985,2.7382139243333334,0.2004930377996485
57,0.07209605977687515,0,allofrancisella_guangzhouensis,2.987001077,2.7375669123333335,0.1996134576011931
58,0.07025466443722139,0,clostridium_botulinum,2.833047983,2.7365806459999997,0.2538675410351461
59,0.06863449908308555,0,methanocella_arvoryzae,2.844248073,2.7585445513333333,0.2421995420937558
60,0.06747246811385006,0,natranaerobius_thermophilus,2.467678256,2.885065137333333,0.0907305791212876
61,0.06671867990185658,0,desulfurella_acetivorans,2.120942435,2.7585445513333333,0.2421995420937558
62,0.06604668364594932,0,microbacterium_chocolatum,2.49069681,2.733667556666667,0.263411004783901
63,0.06495057823013423,0,mycoplasmopsis_arginini,2.728871068,2.7299138976666666,0.2156164214044098
64,0.06507970756711585,0,mycoplasmoides_pneumoniae,2.650047169,2.7518813603333334,0.2109842337039857
65,0.06313326013095627,0,shewanella_halifaxensis,3.191603329,2.727176246666667,0.3874496741311077
66,0.0640553968679388,0,glaciecola_punicea,2.506162454,2.995628112,0.2806208758886573
67,0.06026763858009716,0,effusibacillus_pohliae,2.856808956,2.725637130333333,0.3087381462376796
