iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd
1,0.16659931961290922,0,vibrio_parahaemolyticus,3.075124403,2.8542080529956455,
2,0.16573360869901507,0,photobacterium_profundum,2.342575462,2.8657640578218126,
3,0.183942750444061,0,thermococcus_sibiricus,2.054342674,2.7913771328319443,
4,0.19699595611264045,0,cellvibrio_japonicus,1.971637491,2.7375350470335533,
5,0.19535526240219334,0,aliivibrio_salmonicida,2.77082051,2.7116381098887716,
6,0.18702402215257236,0,streptococcus_thermophilus,2.728227404,2.703354049821404,
7,0.18459144513501896,0,nonlabens_ulvanivorans,2.715157731,2.6992188932438124,
8,0.18618193666588384,0,lactococcus_lactis,3.070120814,2.698904779696357,
9,0.18182641970780777,0,limosilactobacillus_reuteri,2.436585177,2.720930144746964,
10,0.1819242691109683,0,thermosipho_melanesiensis,3.011881447,2.7003995799714646,
11,0.17669221154350517,0,thermosipho_africanus,3.101221246,2.755207102251891,
12,0.17065387429226242,0,fervidobacterium_islandicum,3.129964497,2.746785872417895,
13,0.16636248053283262,0,fervidobacterium_nodosum,3.204146892,2.8541619641300504,
14,0.1641657538742466,0,thermotoga_neapolitana,2.764168173,2.7708218305850973,
15,0.17658295515439287,0,kosmotoga_olearia,2.431762429,2.7700235806958853,
16,0.174317042699589,0,thermotoga_maritima,2.9940093,2.7591629067886405,
17,0.17443738151160676,0,petrotoga_mobilis,2.768685878,2.758115834372336,
18,0.17250209598197278,0,archaeoglobus_fulgidus,3.184580734,2.749876785112656,
19,0.17110709037120747,0,thermodesulfobacterium_commune,3.250863101,2.7649165875859874,
20,0.16944958155507436,0,thermodesulfatator_atlanticus,3.245090472,2.7983269027268003,
21,0.16807581086810683,0,persephonella_hydrogeniphila,2.728079295,2.782560022227176,
22,0.16744481192857782,0,acetomicrobium_flavidum,2.982324124,2.7778041474084376,
23,0.16193460541900503,0,hydrogenobacter_thermophilus,2.274542681,2.781784613123028,
24,0.15949616566686486,0,heliomicrobium_modesticaldum,2.651053025,2.76533532090298,
25,0.1598830855731196,0,methanocella_arvoryzae,2.844248073,2.7622057991759092,
26,0.15929307323902278,0,caldanaerobacter_subterraneus,2.8428298,2.762831009633908,
27,0.15912397501367792,0,clostridium_botulinum,2.833047983,2.764977167324958,
28,0.15862291782672236,0,moorella_thermoacetica,3.222675404,2.766074115021343,
29,0.15829674930216586,0,thermomicrobium_roseum,1.872561769,2.7752185762656834,
30,0.15841323971513932,0,sporolituus_thermophilus,3.151661557,2.7643222869865376,
31,0.15837777679316065,0,natranaerobius_thermophilus,2.467678256,2.7743532778415445,
32,0.15848183958010217,0,veillonella_seminalis,2.536187063,2.766151309312836,
33,0.15821212204382887,0,methanococcoides_burtonii,2.398794599,2.7614661132920237,
34,0.15181721928663186,0,adlercreutzia_mucosicola,2.658004498,2.7535428244313143,
35,0.15193378719546302,0,desulfurella_acetivorans,2.120942435,2.7516360309641477,
36,0.15195155442032887,0,acetohalobium_arabaticum,2.126710883,2.7436740858803743,
37,0.15281659052745877,0,chrysiogenes_arsenatis,2.554905603,2.732647271537721,
38,0.15195801733048378,0,paenibacillus_bovis,2.784400028,2.7293392154176197,
39,0.15231471773284205,0,enterococcus_faecalis,2.826939596,2.7301160314191812,
40,0.15193945034568015,0,lactobacillus_delbrueckii,2.301550472,2.7325784549363816,
41,0.15115914849592876,0,halobacterium_salinarum,3.177501928,2.725460848001847,
42,0.120670246691201,0,haloarcula_marismortui,2.244277007,2.7408044890673127,
43,0.11230000641277173,0,parafannyhessea_umbonata,2.433357931,2.7249580641539266,
44,0.11052868330444977,0,virgibacillus_dokdonensis,2.578796764,2.720668219155212,
45,0.108858027781067,0,thermodesulfovibrio_yellowstonii,3.274248453,2.71825526555474,
46,0.10891983051999149,0,methylophaga_frappieri,2.803400138,2.7341652237590397,
47,0.10934669358277911,0,desulfurobacterium_atlanticum,2.113784676,2.729738799186705,
48,0.10786934943505698,0,falsiroseomonas_stagni,2.538592286,2.7197586070087887,
49,0.10868586547318408,0,symbiobacterium_thermophilum,2.572972778,2.7173504953236844,
50,0.10871956769536886,0,eggerthia_catenaformis,2.129267838,2.7149360143416335,
51,0.10998622560078257,0,geotalea_daltonii,2.870498471,2.708380676471934,
52,0.10931125723970637,0,trichlorobacter_lovleyi,2.608221299,2.7114135281828813,
53,0.11058516561686936,0,actinobacillus_pleuropneumoniae,2.966134968,2.708565243585106,
54,0.11093661064730143,0,histophilus_somni,2.685408131,2.724415181393104,
55,0.11167422287545987,0,escherichia_coli,2.731156976,2.716033389541068,
56,0.11269758793489708,0,erwinia_tasmaniensis,2.810690816,2.7178498389735353,
57,0.11196962535450486,0,allofrancisella_guangzhouensis,2.987001077,2.7169992262804334,
58,0.1126240924718738,0,psychromonas_ingrahamii,3.196500671,2.7200568701513244,
59,0.10947118372788296,0,shewanella_frigidimarina,2.698202785,2.74222790810761,
60,0.10894168986075423,0,shewanella_loihica,2.737415675,2.7372992888818164,
61,0.10962792511078608,0,shewanella_halifaxensis,3.191603329,2.736949098363134,
62,0.10489603872697488,0,pseudomonas_entomophila,2.728750318,2.742399792058132,
63,0.10512144282709171,0,chlorobaculum_parvum,2.699272815,2.741154349424989,
64,0.10564934701916007,0,dissulfuribacter_thermophilus,3.236574137,2.740044717303682,
65,0.10591532354471489,0,polaromonas_naphthalenivorans,2.754771836,2.7548452722380636,
66,0.10526588991515164,0,bordetella_petrii,2.955921511,2.754210751867187,
67,0.1047807812452353,0,verminephrobacter_aporrectodeae,2.969472303,2.7582549893564487,
68,0.08246482219611045,0,neisseria_gonorrhoeae,2.848114599,2.760402865954832,
69,0.08287155185599605,0,pseudomonas_syringae,2.41557335,2.761576406170085,
70,0.08306204239439069,0,marinobacter_nauticus,2.696070609,2.7500540911690687,
71,0.08397363568265141,0,kushneria_avicenniae,3.069014347,2.7485247533198653,
72,0.07398593825124722,0,legionella_erythra,2.93425233,2.754021375283903,
73,0.07508621093810737,0,legionella_pneumophila,3.008882206,2.758307639693645,
74,0.07635332177401001,0,oleiphilus_messinensis,2.776619455,2.759988044365144,
75,0.07371490955533098,0,pseudoalteromonas_atlantica,2.598780336,2.7580177865970184,
76,0.07751783180173247,0,acinetobacter_baylyi,2.049310719,2.7543832451097674,
77,0.07666257400038344,0,glaciecola_punicea,2.506162454,2.7410291428561635,
78,0.07603088161993199,0,anaeromyxobacter_dehalogenans,2.823820054,2.7284864244054527,
79,0.07557640949147208,0,pyrinomonas_methylaliphatogenes,2.69036715,2.729515363809128,
80,0.07495565767766804,0,paramagnetospirillum_magneticum,3.078728272,2.728981108875186,
81,0.07536414538433148,0,gluconacetobacter_diazotrophicus,2.653562784,2.733748437214044,
82,0.07517306658401432,0,salipiger_mucosus,2.934730585,2.732035563102771,
83,0.07383835637414406,0,patulibacter_medicamentivorans,2.319141126,2.7334672029238996,
84,0.07375462190388443,0,bryobacter_aggregatus,2.449629848,2.729892034975738,
85,0.0737884684938554,0,brucella_vulpis,2.246715826,2.7275562443035555,
86,0.07430145788153872,0,acidimicrobium_ferrooxidans,2.439212937,2.723336047053406,
87,0.07436611755536006,0,mycoplasma_mycoides,2.689029202,2.7207337639049456,
88,0.07447806737334699,0,prochlorococcus_marinus,3.295678151,2.7203559088249416,
89,0.061990614106980584,0,mycoplasmopsis_arginini,2.728871068,2.726703774252552,
90,0.06260264267233584,0,mesomycoplasma_hyorhinis,3.021018832,2.726691764208507,
91,0.06304423204872503,0,mycoplasma_mobile,2.66296868,2.7305587676405505,
92,0.0633162003877665,0,mycoplasmoides_pneumoniae,2.650047169,2.728927464588428,
93,0.06387059679912567,0,prosthecobacter_debontii,2.623857086,2.7280765244861307,
94,0.05427403271787642,0,mesomycoplasma_flocculare,2.505754181,2.72718928020617,
95,0.05373237669687995,0,helicobacter_rodentium,2.992350631,2.7252373268168713,
96,0.055264424732858725,0,helicobacter_acinonychis,2.929780929,2.7377419178253652,
97,0.04844445433332272,0,fibrobacter_intestinalis,2.701526331,2.728850528390835,
98,0.04652851543054219,0,lachnospira_multipara,3.172181111,2.72753540160342,
99,0.035002665947213775,0,capnocytophaga_ochracea,2.797596244,2.73064693243743,
100,0.03092916673762737,0,faecalibaculum_rodentium,2.502312799,2.7338425305846537,
101,0.029005229739215776,0,pedobacter_hartonius,2.624385131,2.7259480209580897,
102,0.032200001158073484,0,salinibacter_ruber,2.412231843,2.724580887152121,
103,0.03433657015653915,0,acaryochloris_marina,2.962092794,2.722053679349236,
104,0.03930283093268401,0,synechococcus_elongatus,1.899811977,2.7246059554246984,
105,0.0380579643130201,0,oenococcus_oeni,2.933556401,2.717521113600782,
106,0.042425824631244134,0,effusibacillus_pohliae,2.856808956,2.71818607909561,
107,0.041185714202536625,0,lysinibacillus_sphaericus,2.517335033,2.7205255779205775,
108,0.03841987105298885,0,treponema_putidum,3.196943594,2.7175471826196995,
109,0.037417996881109895,0,sphaerochaeta_pleomorpha,3.031656301,2.723819902990007,
110,0.03627965865449225,0,dietzia_alimentaria,2.527428982,2.724609697382718,
111,0.03587887267200271,0,streptomyces_coelicolor,2.261034896,2.7218409006698105,
112,0.03427553500064668,0,porphyromonas_macacae,1.700372862,2.7179537502717523,
113,0.030928973289431505,0,bacillus_cereus,2.829840345,2.711428626528386,
114,0.02967966650784108,0,bacillus_subtilis,2.788445752,2.714527067226884,
115,0.027188548565774677,0,bacillus_licheniformis,2.800124097,2.717893799490377,
116,0.02639287352865448,0,jeotgalibacillus_marinus,2.246814639,2.714963806064287,
117,0.026532812934368707,0,rubrobacter_radiotolerans,1.545641815,2.7098855354875804,
118,0.025881085734538883,0,pseudoroseomonas_rhizosphaerae,2.642407709,2.702181940428829,
119,0.02540618569051142,0,rhodanobacter_fulvus,2.33133677,2.6991651202608864,
120,0.026374427188582045,0,geobacillus_kaustophilus,2.380755544,2.69673651498464,
121,0.025203429866136613,0,rubritepida_flocculans,2.631781318,2.694513408100241,
122,0.025546818360439424,0,agromyces_subbeticus,2.754277809,2.692404511186866,
123,0.02613199147811166,0,microbacterium_chocolatum,2.49069681,2.6942975793515496,
124,0.02297229774425026,0,deinococcus_proteolyticus,2.113178157,2.6912483883829057,
125,0.020197330635043868,0,corynebacterium_urealyticum,2.454001626,2.6877122132408946,
126,0.01972304986418541,0,ferrimicrobium_acidiphilum,2.21168878,2.6853576538839836,
127,0.02055637753296498,0,pseudarthrobacter_chlorophenolicus,2.20052858,2.681837360989562,
128,0.019142095635486456,0,spirulina_subsalsa,3.233609985,2.6781575480939996,
129,0.013472200467453383,0,leptospira_interrogans,2.387478367,2.6819820446983176,
130,0.014379922108130598,0,streptomonospora_alba,2.670908462,2.678520175416859,
131,0.01570788280169879,0,xanthomonas_campestris,2.855415359,2.6757607548531803,
132,0.01545716401832284,0,salinispora_arenicola,2.471690476,2.6762397754117986,
133,0.012763819413926467,0,chitinophaga_pinensis,2.603529124,2.6732715065168,
134,0.013561018650801228,0,bartonella_quintana,2.064538304,2.672042648980803,
135,0.013115397577539557,0,lactobacillus_crispatus,2.309951573,2.6657573701483885,
136,0.009930114118429565,0,streptomyces_subrutilus,2.035186754,2.662939534513266,
137,0.011127071460880147,0,deinococcus_deserti,2.477914756,2.657156941996951,
138,0.008026935470122187,0,geobacillus_stearothermophilus,2.437468135,2.6519990352037324,
139,0.005910062895770373,0,desulfurobacterium_thermolithotrophum,2.196670361,2.645578298175689,
140,0.002821491266265092,0,micromonospora_viridifaciens,2.440816827,2.634638083459474,
1,0.12586651975910343,1,thermotoga_neapolitana,2.764168173,2.8434982586537796,
2,0.1388566936849569,1,histophilus_somni,2.685408131,2.7598979363333704,
3,0.13234381554767977,1,thermodesulfatator_atlanticus,3.245090472,2.7514444544423324,
4,0.13054328965900683,1,archaeoglobus_fulgidus,3.184580734,2.7626309642946585,
