Entry	Isobutanol_%	mean_retained_activity	std_retained_activity
N1	8	0.17249387866666666	0.038831346745923825
N227	8	0.4221575046666666	0.0016224039946453979
N29	8	0.5615638736666667	0.008130065492136369
N459	8	0.39025134166666664	0.013820733111537073
N608	8	0.10784281966666666	0.005627828559401423
N615	8	0.6278029940000001	0.025805765715013116
N79	8	2.6974158083333335	0.051390714599450736
N95	8	0.3724682653333333	0.022329334151059477
A0A0K9HJH1	8	0.5610371706666667	0.029527957919090055
D3PT81	8	0.319143403	0.04388929764782822
